"key","percentage-rollout-flag"
"test-1@email.com",true
"test-2@email.com",true
"test-3@email.com",true
"test-4@email.com",true
"test-5@email.com",true
"test-6@email.com",true
"test-7@email.com",true
"test-8@email.com",true
"test-9@email.com",true
"test-10@email.com",true
"test-11@email.com",true
"test-12@email.com",true
"test-13@email.com",true
"test-14@email.com",true
"test-15@email.com",true
"test-16@email.com",true
"test-17@email.com",true
"test-18@email.com",true
"test-19@email.com",true
"test-20@email.com",true
