"key","percentage-rollout-flag"
"test-1@email.com",false
"test-2@email.com",false
"test-3@email.com",true
"test-4@email.com",false
"test-5@email.com",true
"test-6@email.com",false
"test-7@email.com",false
"test-8@email.com",false
"test-9@email.com",true
"test-10@email.com",true
"test-11@email.com",false
"test-12@email.com",true
"test-13@email.com",false
"test-14@email.com",true
"test-15@email.com",true
"test-16@email.com",true
"test-17@email.com",false
"test-18@email.com",true
"test-19@email.com",false
"test-20@email.com",false
