"key","percentage-rollout-flag"
"test-1@email.com",false
"test-2@email.com",false
"test-3@email.com",true
"test-4@email.com",false
"test-5@email.com",true
"test-6@email.com",false
"test-7@email.com",false
"test-8@email.com",false
"test-9@email.com",true
"test-10@email.com",true
"test-11@email.com",false
"test-12@email.com",true
"test-13@email.com",false
"test-14@email.com",true
"test-15@email.com",true
"test-16@email.com",true
"test-17@email.com",false
"test-18@email.com",true
"test-19@email.com",false
"test-20@email.com",false
"test-21@email.com",false
"test-22@email.com",false
"test-23@email.com",true
"test-24@email.com",true
"test-25@email.com",true
"test-26@email.com",true
"test-27@email.com",false
"test-28@email.com",true
"test-29@email.com",true
"test-30@email.com",false
"test-31@email.com",false
"test-32@email.com",false
"test-33@email.com",false
"test-34@email.com",false
"test-35@email.com",true
"test-36@email.com",false
"test-37@email.com",false
"test-38@email.com",false
"test-39@email.com",true
"test-40@email.com",false
"test-41@email.com",false
"test-42@email.com",false
"test-43@email.com",false
"test-44@email.com",true
"test-45@email.com",false
"test-46@email.com",false
"test-47@email.com",false
"test-48@email.com",false
"test-49@email.com",true
"test-50@email.com",false
"test-51@email.com",true
"test-52@email.com",true
"test-53@email.com",true
"test-54@email.com",false
"test-55@email.com",true
"test-56@email.com",true
"test-57@email.com",true
"test-58@email.com",true
"test-59@email.com",true
"test-60@email.com",false
"test-61@email.com",true
"test-62@email.com",false
"test-63@email.com",false
"test-64@email.com",true
"test-65@email.com",true
"test-66@email.com",false
"test-67@email.com",false
"test-68@email.com",true
"test-69@email.com",true
"test-70@email.com",true
"test-71@email.com",true
"test-72@email.com",false
"test-73@email.com",false
"test-74@email.com",false
"test-75@email.com",true
"test-76@email.com",true
"test-77@email.com",true
"test-78@email.com",false
"test-79@email.com",false
"test-80@email.com",false
"test-81@email.com",true
"test-82@email.com",true
"test-83@email.com",false
"test-84@email.com",false
"test-85@email.com",false
"test-86@email.com",true
"test-87@email.com",true
"test-88@email.com",false
"test-89@email.com",false
"test-90@email.com",true
"test-91@email.com",true
"test-92@email.com",false
"test-93@email.com",false
"test-94@email.com",false
"test-95@email.com",false
"test-96@email.com",false
"test-97@email.com",true
"test-98@email.com",true
"test-99@email.com",false
"test-100@email.com",true
"test-101@email.com",false
"test-102@email.com",false
"test-103@email.com",true
"test-104@email.com",true
"test-105@email.com",false
"test-106@email.com",true
"test-107@email.com",false
"test-108@email.com",false
"test-109@email.com",true
"test-110@email.com",true
"test-111@email.com",false
"test-112@email.com",true
"test-113@email.com",true
"test-114@email.com",true
"test-115@email.com",true
"test-116@email.com",false
"test-117@email.com",false
"test-118@email.com",false
"test-119@email.com",true
"test-120@email.com",false
"test-121@email.com",true
"test-122@email.com",true
"test-123@email.com",false
"test-124@email.com",false
"test-125@email.com",false
"test-126@email.com",false
"test-127@email.com",false
"test-128@email.com",true
"test-129@email.com",true
"test-130@email.com",true
"test-131@email.com",true
"test-132@email.com",true
"test-133@email.com",true
"test-134@email.com",false
"test-135@email.com",false
"test-136@email.com",false
"test-137@email.com",true
"test-138@email.com",false
"test-139@email.com",false
"test-140@email.com",true
"test-141@email.com",false
"test-142@email.com",false
"test-143@email.com",true
"test-144@email.com",false
"test-145@email.com",false
"test-146@email.com",true
"test-147@email.com",false
"test-148@email.com",false
"test-149@email.com",false
"test-150@email.com",true
"test-151@email.com",false
"test-152@email.com",false
"test-153@email.com",false
"test-154@email.com",false
"test-155@email.com",true
"test-156@email.com",true
"test-157@email.com",false
"test-158@email.com",true
"test-159@email.com",true
"test-160@email.com",false
"test-161@email.com",true
"test-162@email.com",false
"test-163@email.com",false
"test-164@email.com",true
"test-165@email.com",false
"test-166@email.com",true
"test-167@email.com",false
"test-168@email.com",true
"test-169@email.com",true
"test-170@email.com",false
"test-171@email.com",true
"test-172@email.com",false
"test-173@email.com",false
"test-174@email.com",true
"test-175@email.com",false
"test-176@email.com",true
"test-177@email.com",false
"test-178@email.com",true
"test-179@email.com",false
"test-180@email.com",true
"test-181@email.com",true
"test-182@email.com",false
"test-183@email.com",true
"test-184@email.com",false
"test-185@email.com",false
"test-186@email.com",false
"test-187@email.com",true
"test-188@email.com",false
"test-189@email.com",false
"test-190@email.com",true
"test-191@email.com",false
"test-192@email.com",false
"test-193@email.com",false
"test-194@email.com",true
"test-195@email.com",true
"test-196@email.com",false
"test-197@email.com",false
"test-198@email.com",true
"test-199@email.com",false
"test-200@email.com",true
"test-201@email.com",true
"test-202@email.com",false
"test-203@email.com",false
"test-204@email.com",true
"test-205@email.com",true
"test-206@email.com",true
"test-207@email.com",true
"test-208@email.com",true
"test-209@email.com",false
"test-210@email.com",true
"test-211@email.com",true
"test-212@email.com",true
"test-213@email.com",true
"test-214@email.com",true
"test-215@email.com",false
